"","Pool_ID","lat","long","DistRC_m","Depth_cm","SurfArea_cm2","Volume_cm3","Pct_Shaded","Notes","MaxRTemp_Z","Depth_Z","Pct_Shaded_Z","fit","se.fit"
"115","116",37.52631815,-77.45574314,"6.905482088",12.88324034,"724.5916951","9335.088956",0.26,"-",0,-0.540743259187357,0.383202079384405,32.1601434575362,2.67339200863839
"116","117",37.526293,-77.45572032,"11.12407228",26.25,"14631.97","380431.2",0,"-",0,-0.0484254232855248,-0.539498512914512,29.5739916687102,1.32069863292451
"117","118",37.52628721,-77.45573459,"11.29380924",8.666666667,"1157.67703","11632.92674",0,"-",0,-0.696046001094516,-0.539498512914512,33.753599915753,2.67952631739427
"118","119",37.52627874,-77.45574849,"11.82895498",38.4375,"7625.980547","293123.6273",0,"-",0,0.40045850802424,-0.539498512914512,31.59613332137,2.67455405480084
"119","120",37.52626683,-77.45573787,"13.81929035",10.25,"876.5044","8765.044",0,"-",0,-0.637729456184498,-0.539498512914512,35.0306671260916,1.31513176575991
"120","121",37.52621102,-77.45575926,"20.22528836",39.88636364,"5460.516446","216385.9024",0,"-",0,0.453822332160033,-0.539498512914512,31.4911354239933,2.67504319973899
"121","122",37.52620962,-77.45577503,"19.76045273",45.09375,"4732.61296","210573.3006",0,"-",0,0.645618193585727,-0.539498512914512,28.8062009457256,1.31669859797228
"122","123",37.526189,-77.45576516,"22.85667808",32.35357143,"4742.851215","157812.1367",0,"-",0,0.176378280388598,-0.539498512914512,32.0370303733795,2.67324061021302
"123","124",37.52618312,-77.45575289,"24.12616252",30.44886364,"1576.294111","48680.83524",0,"-",0,0.106225031504779,-0.539498512914512,32.1750629028362,2.67307545912918
"124","125",37.5261937,-77.45579486,"21.02577829",89.60676891,"4137.051564","330405.2897",0,"-",0,2.28509954109643,-0.539498512914512,27.8879405711873,2.73234432573913
"125","126",37.52617939,-77.45580419,"22.5093481",41.51726191,"3903.036255","161562.9851",0,"-",0,0.513890765144968,-0.539498512914512,31.3729456341072,2.67567487718174
"126","127",37.52619883,-77.45586908,"17.31177963",62.375,"7499.37443","467753.7481",0,"-",0,1.28211258849419,-0.539498512914512,29.8614033584772,2.69128832971692
"127","128",37.52619572,-77.45587467,"17.48827949",197.6166609,"3616.372119","1199989.194",0,"-",0,6.26326610001453,-0.539498512914512,20.0605569294591,3.10037680777868
"128","129",37.5262,-77.45589471,"16.10861635",32.75,"4037.732","129207.4",0,"-",0,0.190979340079683,-0.539498512914512,32.0083015370965,2.67328973948574
"129","130",37.52620518,-77.45593877,"13.62598491",48.74675811,"2519.68089","131308.1759",0,"-",0,0.780163969300456,-0.539498512914512,32.244648844386,1.31526867308328
"130","131",37.52619136,-77.45594101,"15.33762417",10.625,"673.8716","6738.716",0,"-",0,-0.623917642913429,-0.539498512914512,33.6116811894831,2.6783202112277
"132","133",37.52617537,-77.45594204,"17.38176664",28.02083334,"4560.807343","127102.8255",0,"-",0,0.0167970285178477,-0.539498512914512,32.3510201628768,2.67303512420587
"133","134",37.52612564,-77.45596283,"23.01929657",20.67142857,"8489.0606","185625.2277",0,"-",0,-0.253892588380149,-0.539498512914512,32.7205996054949,1.30328002116721
"134","135",37.52613326,-77.45597043,"21.71239805",28.01166667,"4618.114993","129541.1426",0,"-",0,0.0164594062928943,-0.539498512914512,32.3516844635393,2.67303533337612
"135","136",37.52617632,-77.45599794,"14.9650843",19.16666667,"371.4933393","6953.130083",0,"-",0,-0.30931522939407,-0.539498512914512,32.9926739788098,2.6745038034574
