Pool_ID,Date,MinWTemp_C,MaxWTemp_C,MeanWTemp_C,cvWTemp_C,sdWTemp_C,MaxATemp_C,MeanATemp_C,MaxRTemp_C
425,7/21/2021,26.488,37.604,31.63718182,0.140606929,4.448406993,33.9,27.8,29.9
432,5/20/2021,19.853,34.585,26.51351515,0.222531923,5.900103522,32.8,22.8,23.9
449,5/20/2021,20.5,22.95,21.3630303,0.036787345,0.785889165,32.8,22.8,23.9
451,5/20/2021,18.045,30.054,23.27321212,0.195708566,4.554766979,32.8,22.8,23.9
451,6/24/2021,21.378,27.173,23.34236364,0.088477192,2.065266778,26.1,19.4,26.1
454,6/8/2021,26.879,28.853,27.43087879,0.023289468,0.638850567,32.8,27.8,29
456,7/21/2021,25.319,37.055,30.15887879,0.115002001,3.468331396,33.9,27.8,29.9
483,6/8/2021,25.39,38.61,30.25757576,0.16195417,4.900340569,32.8,27.8,29
486,6/24/2021,19.17,22.69,20.73818182,0.058018463,1.203197445,26.1,19.4,26.1
487,5/20/2021,20.805,29.452,24.11645455,0.1247414,3.008320307,32.8,22.8,23.9
490,6/24/2021,20.68,39.64,28.93909091,0.249754386,7.227664891,26.1,19.4,26.1
500,5/20/2021,18.711,38.046,28.42681818,0.239490753,6.807960104,32.8,22.8,23.9
501,7/21/2021,26.6,35.43,30.01363636,0.105970135,3.180549106,33.9,27.8,29.9
504,6/24/2021,20.63,32.47,26.08181818,0.158614604,4.136957256,26.1,19.4,26.1
508,5/20/2021,19,36.08,29.7703125,0.207106107,6.165613532,32.8,22.8,23.9
510,7/21/2021,25.61,38.379,31.16081818,0.157753049,4.915714085,33.9,27.8,29.9
511,5/20/2021,21.92,27.37,23.8725,0.081013776,1.934001368,32.8,22.8,23.9
511,6/24/2021,23.93,29.64,26.03230303,0.08188708,2.131709268,26.1,19.4,26.1
518,5/20/2021,20.424,32.497,25.74,0.169869671,4.372445326,32.8,22.8,23.9
542,6/8/2021,26.977,36.62,30.39648485,0.117133551,3.560448217,32.8,27.8,29
553,5/20/2021,19.95,33.55,26.58666667,0.187445895,4.983561519,32.8,22.8,23.9
558,6/24/2021,20.674,21.581,21.00372727,0.013525685,0.284089805,26.1,19.4,26.1
576,6/8/2021,25.22,31.19,27.45515152,0.078947937,2.167527568,32.8,27.8,29
604,7/21/2021,26.879,38.157,31.57127273,0.132338213,4.178085808,33.9,27.8,29.9
611,5/20/2021,18.92,36.21,27.30121212,0.240790374,6.573869084,32.8,22.8,23.9
616,6/8/2021,28.06,32.704,29.40278788,0.054379912,1.598921018,32.8,27.8,29
