ObjectID,GlobalID,Pool ID,Date,Time,Observer,How is the pool shaded?,How many dots have open canopy?,Percent Open Canopy,Percent Closed Canopy,CreationDate,Creator,EditDate,Editor,x,y
289,cc5fc6ee-a25c-4044-acb0-d5b3ad61a56f,80,8/19/2021 4:00:00 PM,09:48,Atd,FULL_SUN,90,93.6,6.39999999999999,8/19/2021 1:49:07 PM,davidsonat_vcu_ces,8/19/2021 1:49:07 PM,davidsonat_vcu_ces,-77.45615742,37.52642296
290,ad4318f3-0637-4a50-a514-34ac04d4e57f,81,8/19/2021 4:00:00 PM,09:49,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:50:03 PM,davidsonat_vcu_ces,8/19/2021 1:50:03 PM,davidsonat_vcu_ces,-77.45612193,37.52639816
291,651431b5-6a1e-4e06-9d7e-e90f7cfcdcd7,587,8/19/2021 4:00:00 PM,09:50,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:50:23 PM,marxbp_vcu_ces,8/19/2021 1:50:23 PM,marxbp_vcu_ces,-77.45545169,37.52644707
292,b9fa0a66-fd61-4f44-a0f1-4f34cee3492d,82,8/19/2021 4:00:00 PM,09:50,Atd,FULL_SUN,85,88.4,11.6,8/19/2021 1:50:26 PM,davidsonat_vcu_ces,8/19/2021 1:50:26 PM,davidsonat_vcu_ces,-77.45612127,37.52638273
293,3b8edb07-d630-405b-b750-5b3e0ea31a9a,83,8/19/2021 4:00:00 PM,09:50,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:50:54 PM,davidsonat_vcu_ces,8/19/2021 1:50:54 PM,davidsonat_vcu_ces,-77.45611551,37.5263805
294,d90aa348-cdff-41d2-ab83-35319e86dbac,267,8/19/2021 4:00:00 PM,09:50,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:50:57 PM,marxbp_vcu_ces,8/19/2021 1:50:57 PM,marxbp_vcu_ces,-77.45542423,37.52646694
295,2c53debc-889f-4e98-9633-2a1a84f23fad,84,8/19/2021 4:00:00 PM,09:51,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:51:43 PM,davidsonat_vcu_ces,8/19/2021 1:51:43 PM,davidsonat_vcu_ces,-77.45610247,37.52636922
296,344ca250-1764-4acf-b6f5-52a589a85397,429,8/19/2021 4:00:00 PM,09:51,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:52:05 PM,davidsonat_vcu_ces,8/19/2021 1:52:05 PM,davidsonat_vcu_ces,-77.45609912,37.52635485
297,b5f279fb-1b4d-4627-8887-1d0900d91e70,475,8/19/2021 4:00:00 PM,09:52,Atd,FULL_SUN,86,89.44,10.56,8/19/2021 1:52:42 PM,davidsonat_vcu_ces,8/19/2021 1:52:42 PM,davidsonat_vcu_ces,-77.45610585,37.52634231
298,ca8f53ec-8b58-4641-a14a-e351466ff96f,626,8/19/2021 4:00:00 PM,09:52,Bm,FULL_SHADE,8,8.32,91.68,8/19/2021 1:53:21 PM,marxbp_vcu_ces,8/19/2021 1:53:21 PM,marxbp_vcu_ces,-77.45533803,37.52652605
299,1a7106bd-662b-4a17-a5e4-48d6cdc4dc14,474,8/19/2021 4:00:00 PM,09:53,Atd,FULL_SUN,95,98.8,1.2,8/19/2021 1:53:24 PM,davidsonat_vcu_ces,8/19/2021 1:53:24 PM,davidsonat_vcu_ces,-77.45612784,37.52631804
300,407c107f-8a0c-4295-acff-3dfc3228f9b0,78,8/19/2021 4:00:00 PM,09:53,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:54:08 PM,davidsonat_vcu_ces,8/19/2021 1:54:08 PM,davidsonat_vcu_ces,-77.45614881,37.52633582
301,ca3f6e3e-1782-4bd1-bed3-5e65c60bd16c,77,8/19/2021 4:00:00 PM,09:54,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:54:32 PM,davidsonat_vcu_ces,8/19/2021 1:54:32 PM,davidsonat_vcu_ces,-77.45616278,37.52635334
302,e4101efe-cf37-4fa1-ae51-b7fe12ec33c5,79,8/19/2021 4:00:00 PM,09:54,Atd,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:54:50 PM,davidsonat_vcu_ces,8/19/2021 1:54:50 PM,davidsonat_vcu_ces,-77.45614973,37.52636411
303,22888e36-0d74-42db-8523-c7413189f9ee,537,8/19/2021 4:00:00 PM,09:55,Atd,FULL_SUN,4,4.16,95.84,8/19/2021 1:55:28 PM,davidsonat_vcu_ces,8/19/2021 1:55:28 PM,davidsonat_vcu_ces,-77.45620575,37.52638752
304,2f0f341c-9492-473f-8e30-6b3574e616d8,427,8/19/2021 4:00:00 PM,09:55,Atd,FULL_SUN,69,71.76,28.24,8/19/2021 1:56:06 PM,davidsonat_vcu_ces,8/19/2021 1:56:06 PM,davidsonat_vcu_ces,-77.4562106,37.52640536
305,33ed78e7-4837-477b-9cba-f1ea7b6cfeb0,426,8/19/2021 4:00:00 PM,09:56,Atd,FULL_SUN,95,98.8,1.2,8/19/2021 1:56:45 PM,davidsonat_vcu_ces,8/19/2021 1:56:45 PM,davidsonat_vcu_ces,-77.45622652,37.52634165
306,322989db-d83a-415b-8680-c3b41a7c16e9,269,8/19/2021 4:00:00 PM,09:54,Bm,FULL_SUN,78,81.12,18.88,8/19/2021 1:57:26 PM,marxbp_vcu_ces,8/19/2021 1:57:26 PM,marxbp_vcu_ces,-77.45542695,37.5265227
307,21ac2986-8517-48dc-bf32-34a8ffdb1b02,74,8/19/2021 4:00:00 PM,09:56,Atd,FULL_SHADE,79,82.16,17.84,8/19/2021 1:57:26 PM,davidsonat_vcu_ces,8/19/2021 1:57:26 PM,davidsonat_vcu_ces,-77.45620655,37.52631161
308,73edfed5-2a84-4695-94aa-08b41a9ba9b9,476,8/19/2021 4:00:00 PM,09:57,Atd,FULL_SHADE,5,5.2,94.8,8/19/2021 1:58:05 PM,davidsonat_vcu_ces,8/19/2021 1:58:05 PM,davidsonat_vcu_ces,-77.45622707,37.52629848
309,580d12fe-0f27-4549-9576-db3973ace92a,268,8/19/2021 4:00:00 PM,09:58,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 1:58:52 PM,marxbp_vcu_ces,8/19/2021 1:58:52 PM,marxbp_vcu_ces,-77.45542045,37.52652688
310,166f5507-5b73-41a0-b211-730b545749f6,270,8/19/2021 4:00:00 PM,09:59,Bm,FULL_SUN,86,89.44,10.56,8/19/2021 2:00:04 PM,marxbp_vcu_ces,8/19/2021 2:00:04 PM,marxbp_vcu_ces,-77.455432,37.52653288
311,6f5e0b04-37b8-4bb7-bf51-b1ace7b5efa1,581,8/19/2021 4:00:00 PM,10:00,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 2:00:49 PM,marxbp_vcu_ces,8/19/2021 2:00:49 PM,marxbp_vcu_ces,-77.45544123,37.52653711
312,d1aab3c7-163d-45e0-9cc9-af4a0ca01bb3,271,8/19/2021 4:00:00 PM,10:01,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 2:01:35 PM,marxbp_vcu_ces,8/19/2021 2:01:35 PM,marxbp_vcu_ces,-77.45544415,37.5265208
313,1c647446-6c05-45dc-81ac-545c796726d6,580,8/19/2021 4:00:00 PM,10:02,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 2:02:27 PM,marxbp_vcu_ces,8/19/2021 2:02:27 PM,marxbp_vcu_ces,-77.45546476,37.52650092
314,383e371f-ab92-4031-9385-168f621fbf10,272,8/19/2021 4:00:00 PM,10:02,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 2:03:14 PM,marxbp_vcu_ces,8/19/2021 2:03:14 PM,marxbp_vcu_ces,-77.45547896,37.52650861
315,a3e1087b-06fd-456f-95f0-1759f05852a2,273,8/19/2021 4:00:00 PM,10:03,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 2:03:52 PM,marxbp_vcu_ces,8/19/2021 2:03:52 PM,marxbp_vcu_ces,-77.45548561,37.52651179
