ObjectID,GlobalID,Pool ID,Date,Time,Observer,Is the pool dried up?,Is the pool underwater?,What type of pool is it?,Length,Width,Depth 1,Depth 2,Depth 3,Depth 4,Lip Height 1,Lip Height 2,Lip Height 3,Lip Height 4,CreationDate,Creator,EditDate,Editor,Date,Time,Average pool depth,Average lip height,x,y
61,ad132240-761e-462f-a376-012b781690ad,215,,,pl,no,no,CLASSIC,85,50,43,37,33,43,20,20,2,15,8/19/2021 2:18:47 PM,lamountaif_vcu_ces,8/19/2021 2:18:47 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,10:15,39,14.25,-77.45506021,37.52639383
62,fe832104-d04f-42eb-b86b-012f9c7504e1,373,,,CRS ,no,no,CLASSIC,31,27,32,11,9,30.5,15,9,6,2,8/19/2021 2:20:10 PM,crstunkle_vcu_ces,8/19/2021 2:20:10 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:17,20.625,8,-77.45480039,37.52643353
63,bccb04c8-64f2-4887-b31c-022fb2ab3eec,624,,,MTj,no,no,CLASSIC,53,24,7.5,9,2,9,25,3,6,1,8/19/2021 2:24:17 PM,thackerm2_vcu_ces,8/19/2021 2:24:17 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,10:20,6.875,8.75,-77.45530856,37.52639195
64,6e06959f-dd85-4ca4-b043-2cc59d6c0857,248,,,Pl,no,no,CLASSIC,106,70,20,16,22.5,11,30,18,3,3,8/19/2021 2:28:10 PM,lamountaif_vcu_ces,8/19/2021 2:28:10 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,10:20,17.375,13.5,-77.45498113,37.52649787
65,5650bdb2-7e55-4d60-96f5-d194a0edfe63,772,,,MT,no,no,CLASSIC,61,54,11,25,23,29.5,31,25,3,15,8/19/2021 2:30:13 PM,thackerm2_vcu_ces,8/19/2021 2:30:13 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,10:26,22.125,18.5,-77.45534239,37.5264121
66,75ba1b3f-e36d-4f50-8093-0e80c9054e93,689,,,CRS ,no,no,CLASSIC,32,30,10,9,8,10,2,6,2,4,8/19/2021 2:32:29 PM,crstunkle_vcu_ces,8/19/2021 2:32:29 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:27,9.25,3.5,-77.4546498,37.52671464
67,1e8aa8a0-6128-4b69-8ef5-546d8c345206,775,,,Pl,no,no,CLASSIC,55,30,4,9,2,6.5,7,7,4,7,8/19/2021 2:32:35 PM,lamountaif_vcu_ces,8/19/2021 2:32:35 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,10:29,5.375,6.25,-77.45494712,37.52652663
68,f2468b79-6957-4892-bd00-0846fe491926,623,,,MT,no,no,CLASSIC,46,33,24,26,5,24.5,13,12.5,0,14,8/19/2021 2:36:31 PM,thackerm2_vcu_ces,8/19/2021 2:36:31 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,10:33,19.875,9.875,-77.45534492,37.52639874
69,839eb03b-b881-41c4-82d1-260ef44f9ce4,774,,,Pl,no,no,CLASSIC,78,46,19,20,19,6,44,60,0,15,8/19/2021 2:36:41 PM,lamountaif_vcu_ces,8/19/2021 2:36:41 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,10:32,16,29.75,-77.4549571,37.5265297
70,f55026e3-4e05-489d-bb5d-9b2ebcc985e2,621,,,MT,no,no,CLASSIC,65,42,18,17,16,24,8,1,16,14,8/19/2021 2:41:06 PM,thackerm2_vcu_ces,8/19/2021 2:41:06 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,10:37,18.75,9.75,-77.45538604,37.52639252
71,83fc157b-8c4a-49f8-8132-1f1e8c703819,202,,,CRS ,no,no,CLASSIC,206,102,34.5,34,48,28,49,33,67,44,8/19/2021 2:41:09 PM,crstunkle_vcu_ces,8/19/2021 2:41:09 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:37,36.125,48.25,-77.45508639,37.52616021
72,d3717495-c10d-4907-a50d-624e0903d642,231,,,Pl,no,no,"FISSURE,SHALLOW",200,71,5,4.5,2,5.5,4,1,1,4,8/19/2021 2:42:46 PM,lamountaif_vcu_ces,8/19/2021 2:42:46 PM,lamountaif_vcu_ces,8/19/2021 4:00:00 PM,10:38,4.25,2.5,-77.45516403,37.5263857
73,4ddae3f1-0eb5-4721-8195-7844eff4ebfa,756,,,MT,no,no,CLASSIC,70.5,53,21.5,9,23.5,18.5,17,31,6,19.5,8/19/2021 2:46:09 PM,thackerm2_vcu_ces,8/19/2021 2:46:09 PM,thackerm2_vcu_ces,8/19/2021 4:00:00 PM,10:41,18.125,18.375,-77.45536333,37.52633291
74,faa4eef4-df75-40b5-848c-b16f6067713b,201,,,CRS ,no,no,CLASSIC,198,153,107,115,51,59,7,36,90,47,8/19/2021 2:46:57 PM,crstunkle_vcu_ces,8/19/2021 2:46:57 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:44,83,45,-77.45516618,37.52616821
75,feb2ce8b-3443-4392-92b6-6faa7348c095,651,,,CRS ,yes,no,CLASSIC,0,0,0,0,0,0,0,0,0,0,8/19/2021 2:47:34 PM,crstunkle_vcu_ces,8/19/2021 2:47:34 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:47,0,0,-77.45518254,37.5261156
76,08eeb13b-df3a-4f3a-8f2c-0a2f2ab3b1af,767,,,CRS ,no,no,CLASSIC,65,64,13,7,8,10,23,11,17,13,8/19/2021 2:52:04 PM,crstunkle_vcu_ces,8/19/2021 2:52:04 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:49,9.5,16,-77.45520073,37.52610597
77,2a15e2bd-1b0c-491f-8912-26df8f6770be,197,,,CRS ,no,no,CLASSIC,241,144,95,65,111,62,1,5,5,12,8/19/2021 2:55:33 PM,crstunkle_vcu_ces,8/19/2021 2:55:33 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:52,83.25,5.75,-77.45517997,37.52608034
78,64617c02-84b0-4a71-ae99-081ae530f86d,198,,,CRS ,no,no,CLASSIC,114,82,71,77,75.5,72.75,30,2,16,26,8/19/2021 2:58:50 PM,crstunkle_vcu_ces,8/19/2021 2:58:50 PM,crstunkle_vcu_ces,8/19/2021 4:00:00 PM,10:56,74.0625,18.5,-77.45516873,37.52605745
79,47ca6441-a43f-4ff7-a1c1-a47268c0cfd0,700,,,Bm,yes,no,SHALLOW,0,0,0,0,0,0,0,0,0,0,9/20/2021 12:15:04 PM,marxbp_vcu_ces,9/20/2021 12:15:04 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:14,0,0,-77.45475628,37.52614856
80,eb74c78d-d77c-40ad-90c6-34004ba9741f,701,,,Bm,yes,no,SHALLOW,0,0,0,0,0,0,0,0,0,0,9/20/2021 12:15:53 PM,marxbp_vcu_ces,9/20/2021 12:15:53 PM,marxbp_vcu_ces,9/20/2021 4:00:00 PM,08:15,0,0,-77.45469401,37.52617062
