Pool_ID,DistRC_m,Depth_cm,Pct_Shaded,MaxRTemp_Z,Depth_Z,Pct_Shaded_Z,SurfArea_Z,MaxTemp_Predicted_C,MaxTemp_SE,MaxTemp_Z
211,29.48192071,63.625,0,0,1.328151966,-0.539498513,0.635705092,29.79437748,2.690826938,-0.78084203
212,27.39588351,21.375,0,0,-0.227978996,-0.539498513,-0.480116962,32.83005268,2.674929159,0.4241708
213,28.21929358,86.4375,0,0,2.168370607,-0.539498513,0.436017715,28.1552925,2.720117273,-1.431477656
214,24.87506653,40.79166667,0,0,0.487166003,-0.539498513,-0.493034977,28.64148371,1.328425152,-1.238483805
215,23.57300205,55.31166571,0,0,1.021959377,-0.539498513,-0.437702438,30.39169305,2.683727634,-0.543737309
216,20.41076822,53.59027778,0,0,0.958558074,-0.539498513,0.183801578,30.51537529,2.682499178,-0.49464158
217,23.76558333,75.35,0,0,1.760001328,-0.539498513,0.636161035,28.95193271,2.704100748,-1.115250916
218,17.89566583,41.325,0,0,0.50680947,-0.539498513,0.958878962,29.09511882,1.314259064,-1.058413113
219,16.30190905,50.69444444,0,0,0.851900182,-0.539498513,-0.290738331,30.72344179,2.68062024,-0.412049477
220,14.28756471,75.40104167,0,0,1.761881269,-0.539498513,-0.049036679,28.94826535,2.704166808,-1.116706676
221,11.58266994,62.75986111,0,0,1.296287601,-0.539498513,0.146402131,29.85653797,2.689998288,-0.756167392
222,9.77668377,79.51388889,0,0,1.91336361,-0.539498513,0.103216621,28.65275604,2.7097239,-1.234009248
223,9.013694296,85.98611111,0,0,2.151745276,-0.539498513,-0.004776249,27.95779486,1.314999681,-1.509874445
224,9.06907733,30.02437452,0,0,0.09059046,-0.539498513,-0.425481688,33.69963996,1.314930517,0.769353914
225,7.900841779,59.82291667,0,0,1.188115526,-0.539498513,-0.266894194,30.08590448,1.304052184,-0.665120237
226,6.569633735,38.16666667,0,0,0.39048331,-0.539498513,-0.244027838,31.62356639,2.675213444,-0.054744555
227,9.432693426,127.3541667,0,0,3.6753929,-0.539498513,0.375321958,28.59745791,1.338705782,-1.255959867
228,9.481011308,35.90277778,0,0,0.307100881,-0.539498513,0.002330914,28.85650371,1.32988834,-1.153131506
229,15.55561021,50.5625,0,0,0.84704047,-0.539498513,2.368239572,30.73292203,2.680540242,-0.408286288
230,23.57252963,30,0,0,0.089692709,-0.539498513,-0.110020127,32.21034384,2.674077725,0.178177057
231,20.63722228,42.75,0,0,0.559294361,-0.539498513,-0.057744618,31.29425251,2.676677633,-0.185465868
232,12.59068505,5.125,0,0,-0.826490904,-0.539498513,-0.500667343,33.99762007,2.682246402,0.887637274
233,6.054422285,27.125,0,0,-0.016197859,-0.539498513,0.926493609,32.41691346,2.67412744,0.260174971
234,3.914284287,90.76071429,0,0,2.327601083,-0.539498513,1.299084929,27.84466825,2.727262291,-1.55478011
235,3.35686276,73.04166667,0,0,1.674981944,-0.539498513,1.31885173,29.11778715,2.701187889,-1.04941491
236,2.275293582,22.375,0,0,-0.191147494,-0.539498513,-0.125798896,32.75820238,2.674722487,0.395649787
237,5.820865959,104.375,0,0,2.829035675,-0.539498513,-0.449643383,26.86647773,2.753003183,-1.94307334
238,4.740104585,63.875,0,0,1.337359842,-0.539498513,-0.208872021,29.77641491,2.69107027,-0.787972284
239,3.250889338,27.125,0,0,-0.016197859,-0.539498513,0.063948435,29.49524561,1.322250602,-0.899582581
240,5.97558697,81.29166667,0,0,1.978841836,-0.539498513,0.894746771,28.52502217,2.712268667,-1.284713273
241,0.850436682,38.75,0.64,0,0.411968352,1.731764484,0.380596409,26.61124797,1.309751731,-2.044386925
242,3.718381047,65.5,0,0,1.397211032,-0.539498513,0.865848841,29.65965817,2.692694248,-0.834318931
243,0.415995771,82.53125,0,0,2.024497552,-0.539498513,-0.322955152,28.43595773,2.714093828,-1.320067446
244,5.384653277,33.5625,0,0,0.220904936,-0.539498513,-0.008329841,31.95437715,2.67434093,0.076570946
245,6.24794179,35.26875,0,0,0.283748686,-0.539498513,3.770157584,31.83178257,2.674594288,0.027906966
246,14.27921433,55.16666667,0,0,1.016618845,-0.539498513,0.636140921,30.40211127,2.683620952,-0.539601789
247,10.97550045,78.54861111,0,0,1.877810979,-0.539498513,0.558945702,28.72211154,2.708378197,-1.206478548
248,12.92736329,33,0,0,0.200187216,-0.539498513,-0.09743736,31.99479294,2.674275474,0.092614016
249,11.55086621,28.875,0,0,0.04825727,-0.539498513,0.258925692,32.29117543,2.674069294,0.210263197
250,6.350895607,53.625,0,0,0.959836946,-0.539498513,0.730075635,30.51288049,2.682523136,-0.495631893
251,2.529401625,25.0625,0,0,-0.092162832,-0.539498513,-0.162172738,32.5651047,2.674307332,0.318999562
252,0.90555595,21,0,0,-0.241790809,-0.539498513,-0.574778341,32.85699655,2.675013958,0.434866181
253,12.84344224,21.5,0,0,-0.223375058,-0.539498513,0.165348257,32.8210714,2.674901777,0.420605674
254,13.89362187,26.5,0,0,-0.039217548,-0.539498513,-0.33566084,32.04324807,1.310213229,0.111848305
256,15.4790522,36.25902746,0,0,0.320222092,-0.539498513,-0.437180512,29.67699482,1.321017187,-0.827437137
257,14.7011142,38.58333333,0,0,0.405829769,-0.539498513,-0.573515591,29.77018705,1.316120474,-0.790444436
258,17.86293264,56.30749857,0,0,1.058637397,-0.539498513,-0.455904061,30.32014216,2.684476222,-0.572139471
259,22.51372249,19.5625,0,0,-0.294736093,-0.539498513,-0.60125693,32.96028135,2.675375879,0.475865138
260,25.36907986,24.4375,0,0,-0.115182521,-0.539498513,-0.479144758,32.61001114,2.67438563,0.336825196
261,31.56426547,19.5,0,0,-0.297038062,-0.539498513,0.180948259,32.55847834,0.981636626,0.316369225
262,29.34337453,18.25,0.34,0,-0.34307744,0.667109954,-0.318697616,33.43414512,1.311016716,0.663965604
263,35.56783826,21.75,0,0,-0.214167183,-0.539498513,3.040233661,32.80310882,2.67484834,0.41347542
264,31.34640123,63.82735177,0,0,1.335604886,-0.539498513,0.142065708,29.77983845,2.691023758,-0.786613308
265,28.74798848,32.79687453,0,0,0.192705799,-0.539498513,-0.442316826,32.84786606,0.983254176,0.431241829
266,10.52095454,37.859375,0,0,0.379165296,-0.539498513,-0.35166873,31.64564538,2.675136525,-0.045980285
269,7.545556325,5,0.19,0,-0.831094842,0.134782689,-0.580503267,32.37736491,1.307012434,0.244476154
270,9.08095136,23.13749951,0.11,0,-0.163063491,-0.149125185,-0.497585377,32.16227056,2.671509655,0.159094343
272,7.698397191,12.75,0,0,-0.545650701,-0.539498513,-0.46392474,31.0693968,1.31478992,-0.274722456
273,8.3735696,15.13555508,0,0,-0.457787124,-0.539498513,-0.565042748,33.27835868,2.676857499,0.602126095
275,11.39610019,66.25,0.03,0,1.424834659,-0.43303306,-0.262242697,29.45818517,2.692918237,-0.914293742
276,18.85868331,26.8,0.13,0,-0.028168097,-0.078148217,2.269845816,36.19409362,0.997989589,1.759528578
278,20.2602787,16.125,0.01,0,-0.421344382,-0.504010029,-0.453766882,33.15807167,2.676035419,0.554378106
279,22.7636183,22.90625,0,0,-0.171580758,-0.539498513,-0.37506026,32.72003191,2.674624206,0.380497998
280,24.69651074,26.7979166,0,0,-0.028244832,-0.539498513,-0.362919148,30.71691701,1.309176549,-0.414639491
281,26.19454489,38.87999331,0.04,0,0.416756201,-0.397544576,-0.356088911,28.47636727,0.989539095,-1.304026862
