Pool_ID,lat,long,DistRC_m,Depth_cm,SurfArea_cm2,Volume_cm3,Pct_Shaded,Notes
295,37.52661546,-77.45536884,17.51629117,-,-,-,0,Not a pool
296,37.52669036,-77.45539189,28.26761292,-,-,-,33,Channel feature?
297,37.52669296,-77.45546533,31.44370152,-,-,-,73,-
298,37.52674316,-77.45550478,39.57563225,46,4598.113548,210972.4766,93,-
299,37.52675857,-77.4555025,41.51703841,-,-,-,58,-
300,37.5267795,-77.45546446,42.80420238,63.96428571,4256.409192,268844.9678,21,-
301,37.52679421,-77.45547534,45.16163125,11.125,6382.931,70212.24,11,-
302,37.52679004,-77.45543249,42.95866232,64,8776.039078,561666.501,4,-
303,37.52677055,-77.45537818,38.29644932,25.20833333,7378.030667,181974.1333,95,-
304,37.52687946,-77.45545885,55.74961036,40.66071429,6937.253639,293999.506,44,-
305,37.52687988,-77.45547325,56.36022612,-,-,-,72,Frequently dry
306,37.52696955,-77.45543975,66.87303559,21.04166667,9081.035373,182604.8112,92,-
307,37.52706373,-77.45525669,72.20980909,23.13541667,5411.884128,124234.9186,72,-
308,37.52699082,-77.45518454,59.82632294,20.34375,10484.28,203423.6,98,-
309,37.52702335,-77.45516336,63.29043732,24.53846154,5677.280588,169614.1092,92,-
310,37.52677371,-77.45520592,32.06504157,89.98989201,2050.43231,276573.0694,0,-
311,37.52675404,-77.45523849,30.73205262,17.5,13391.04,227647.7,0,-
312,37.52670777,-77.45528099,26.28015399,-,-,-,0,Channel feature
313,37.52667441,-77.45528075,21.87885304,23.92601777,856.3356397,20488.70173,0,-
314,37.52670104,-77.45525867,24.53316818,24.75,39970.48335,961115.2944,0,-
315,37.52657887,-77.45521583,6.794454169,42.6,2878.170098,123399.1208,0,-
316,37.52660531,-77.45520645,9.914091792,59,2455.940057,44206.92102,0,-
317,37.52665561,-77.45517482,15.31651919,39.8604927,6469.330839,185637.7553,19,-
318,37.52664733,-77.45516471,13.83533833,13.4375,2227.782,28961.165,0,-
319,37.52665325,-77.45512603,13.1224736,165.4627266,3599.017183,1043523.017,0,-
320,37.52663043,-77.45508013,8.346414356,51.375,13782.95237,708099.178,0,-
321,37.52665836,-77.45507798,11.9414662,4.625,4069.147885,18819.80897,89,-
322,37.52667766,-77.45502828,12.56461798,32.25,3581.416,114605.3,0,-
323,37.52673234,-77.45500024,18.68202961,19.15625,25159.83674,545234.8913,23,-
324,37.52672716,-77.45497733,17.11515715,22.24833286,1679.754155,45077.72884,0,-
